City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Amapa,BR,2022-07-20 17:43:37,1.0,-52.0,82.9,78,39,3.67
184,Tulsipur,NP,2022-07-20 17:43:38,28.131,82.2973,75.45,91,100,3.36
185,Alta Floresta,BR,2022-07-20 17:35:57,-9.8756,-56.0861,94.82,23,0,4.61
186,Pacifica,US,2022-07-20 17:40:56,37.6138,-122.4869,75.43,89,20,14.97
187,Kampene,CD,2022-07-20 17:44:38,-3.6,26.6667,77.43,45,52,0.81
188,Chula Vista,US,2022-07-20 17:39:56,32.64,-117.0842,86.31,77,75,11.5
189,Puerto Leguizamo,CO,2022-07-20 17:44:39,-0.1934,-74.7819,73.11,94,100,3.91
190,Broome,US,2022-07-20 17:44:40,42.2506,-75.833,92.62,54,8,7.0
191,Makakilo City,US,2022-07-20 17:42:09,21.3469,-158.0858,77.32,73,0,8.05
192,Fereydun Kenar,IR,2022-07-20 17:44:40,36.6864,52.5225,82.62,74,0,0.0
193,Syke,DE,2022-07-20 17:44:41,52.9,8.8333,85.68,32,0,17.27
194,Srandakan,ID,2022-07-20 17:44:41,-7.9386,110.2506,76.37,80,87,7.02
195,Meulaboh,ID,2022-07-20 17:44:42,4.1363,96.1285,76.01,87,100,3.89
196,Dukat,RU,2022-07-20 17:44:43,62.55,155.55,46.26,57,71,4.07
197,Pisco,PE,2022-07-20 17:44:43,-13.7,-76.2167,59.05,94,100,5.75
198,Lavrentiya,RU,2022-07-20 17:44:43,65.5833,-171.0,41.27,80,100,17.87
199,Azangaro,PE,2022-07-20 17:44:44,-14.9167,-70.2167,60.17,9,99,2.53
200,Novopokrovka,UA,2022-07-20 17:44:44,49.8425,36.5477,59.32,91,95,6.96
201,Castro,BR,2022-07-20 17:44:45,-24.7911,-50.0119,69.58,66,63,4.25
202,Ouahigouya,BF,2022-07-20 17:44:45,13.5828,-2.4216,84.88,57,100,13.04
203,Owando,CG,2022-07-20 17:44:46,-0.4819,15.8999,78.35,68,73,3.11
204,Verkhnevilyuysk,RU,2022-07-20 17:44:46,63.4453,120.3167,55.92,97,100,4.29
205,Aguia Branca,BR,2022-07-20 17:44:47,-18.9831,-40.7403,84.36,37,0,9.35
206,Limoges,FR,2022-07-20 17:44:47,45.75,1.3333,75.76,50,20,11.5
207,Bertoua,CM,2022-07-20 17:44:48,4.5833,13.6833,68.88,97,100,1.95
208,Nicoya,CR,2022-07-20 17:43:04,10.1483,-85.452,83.19,78,80,5.99
209,Sao Joao Da Barra,BR,2022-07-20 17:40:25,-21.6403,-41.0511,80.69,76,55,9.98
210,Gariadhar,IN,2022-07-20 17:44:48,21.5333,71.5833,79.05,84,90,11.65
211,Davila,PH,2022-07-20 17:44:49,18.4726,120.5763,83.62,81,9,3.18
212,East London,ZA,2022-07-20 17:44:49,-33.0153,27.9116,62.22,78,74,7.85
213,Ribeira Grande,PT,2022-07-20 17:40:26,38.5167,-28.7,73.8,83,20,6.91
214,Hami,CN,2022-07-20 17:44:50,42.8,93.45,64.63,65,80,6.31
215,Fort-Shevchenko,KZ,2022-07-20 17:44:50,44.5086,50.263,77.27,61,95,19.95
216,Kavieng,PG,2022-07-20 17:40:44,-2.5744,150.7967,81.68,78,100,12.15
217,Totness,SR,2022-07-20 17:44:51,5.8833,-56.3167,82.96,72,33,9.93
218,Carbonia,IT,2022-07-20 17:44:51,39.1672,8.5222,90.55,51,0,5.37
219,Coihaique,CL,2022-07-20 17:43:10,-45.5752,-72.0662,36.21,86,100,3.44
220,Tripoli,LY,2022-07-20 17:42:35,32.8752,13.1875,82.81,64,0,15.35
221,Tandil,AR,2022-07-20 17:40:07,-37.3217,-59.1332,64.69,45,1,17.31
222,Abu Kamal,SY,2022-07-20 17:44:52,34.4506,40.9171,99.48,15,0,10.25
223,Usinsk,RU,2022-07-20 17:44:53,65.9939,57.5281,64.29,60,7,10.02
224,Monroe,US,2022-07-20 17:44:54,43.1501,-77.6831,92.86,50,20,11.5
225,Provideniya,RU,2022-07-20 17:44:54,64.3833,-173.3,41.41,79,98,14.72
