City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
519,Mount Gambier,AU,-37.8333,140.7667,51.08,97,100,10.18,light rain
520,Jiexiu,CN,37.0244,111.9125,63.5,80,0,2.89,clear sky
521,Makakilo City,US,21.3469,-158.0858,80.92,63,75,12.66,broken clouds
522,Yerbogachen,RU,61.2767,108.0108,61.27,71,100,5.46,overcast clouds
523,Fortuna,US,40.5982,-124.1573,64.92,75,11,1.99,few clouds
524,Mananjary,MG,-21.2167,48.3333,66.29,86,29,0.2,light rain
525,Aguacatan,GT,15.3431,-91.3117,80.33,50,40,11.5,scattered clouds
526,Mamaku,NZ,-38.1,176.0833,35.11,90,93,4.0,overcast clouds
527,Puro,PH,12.4841,123.3827,80.24,85,100,5.39,overcast clouds
528,Gamba,GA,-2.65,10.0,69.55,83,64,8.39,broken clouds
529,Armidale,AU,-30.5167,151.65,42.42,95,57,8.25,broken clouds
530,Sao Felix Do Xingu,BR,-6.6447,-51.995,95.49,21,8,3.83,clear sky
